"IntID","LegID","LegType","LegRtType","LegSpeed","LegWidth","NumLanes","MergeLanes","PaveType","MedType","MedWidth","LegTCType","LTLanes","LTWidth","LTLnLength","LTOffset","RTLanes","RTWidth","RTLnLength","RTChannel","RTMoveCtrl","PedCross","Rumble","OneWay","TurnProhib","SightLt","SightRt","IntCat","AreaType","NumberLegs","IntTCType","Lighting","Terrain","Offset","OffsetDist","SkewAngle","NextPIDist","AADT","IntAADT","X5YrCrashCount","X1YrCrashCount","TotalAADT","TotalT5YearInM","Traffic","Lat","Long","County","City"
"126794","126794_3","2","5",25,30,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","2","2","2","1","2","2","7","2",3,"1","1","2","2",0,1,489,7840,7840,1,0.2,8378,14.308,14.308,33.19492,-87.56149,"Tuscaloosa","Tuscaloosa"
"126794","126794_1","1","1",35,62,4,"0","1","4",14,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","3","2","7","2",3,"1","1","2","2",0,1,489,269,7840,1,0.2,8378,0.490925,14.308,33.19492,-87.56149,"Tuscaloosa","Tuscaloosa"
"128229","128229_2","1","1",40,40,4,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","3","7","2",3,"1","1","2","2",0,25,138,270,7850,0,0,8390,0.49275,14.32625,33.18795,-87.55733,"Tuscaloosa","Tuscaloosa"
"128229","128229_3","2","5",25,24,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","7","2",3,"1","1","2","2",0,25,138,7850,7850,1,0.2,8390,14.32625,14.32625,33.18795,-87.55733,"Tuscaloosa","Tuscaloosa"
"128229","128229_1","1","1",40,40,4,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","3","2","7","2",3,"1","1","2","2",0,25,138,270,7850,0,0,8390,0.49275,14.32625,33.18795,-87.55733,"Tuscaloosa","Tuscaloosa"
"128383","128383_4","2","5",25,28,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","8","2",4,"2","2","2","1",15,33,170,7850,7850,2,0.4,16240,14.32625,14.32625,33.1849,-87.55552,"Tuscaloosa","Tuscaloosa"
"128383","128383_2","1","1",35,46,4,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","8","2",4,"2","2","2","1",15,33,170,270,7850,0,0,16240,0.49275,14.32625,33.1849,-87.55552,"Tuscaloosa","Tuscaloosa"
"128383","128383_3","2","5",25,26,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","8","2",4,"2","2","2","1",15,33,170,7850,7850,0,0,16240,14.32625,14.32625,33.1849,-87.55552,"Tuscaloosa","Tuscaloosa"
"128383","128383_1","1","1",35,43,4,"0","1","1",0,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","8","2",4,"2","2","2","1",15,33,170,270,7850,0,0,16240,0.49275,14.32625,33.1849,-87.55552,"Tuscaloosa","Tuscaloosa"
"130489","130489_2","1","1",45,73,4,"0","1","3",26,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","3","2","7","2",3,"1","2","2","2",0,13,1275,13,11020,3,0.6,11046,0.023725,20.1115,33.16211,-87.54336,"Tuscaloosa","Tuscaloosa"
